,Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City,Company_clean
299,DELTA NATURAL GAS CO INC,,9,2,22%,,,WINCHESTER,delta natural gas
300,Delta Tucker Holdings Inc.,,9,0,0%,Industrials,Virginia,McLean,delta tucker holdings
301,DELTIC TIMBER CORP,,10,2,20%,,,EL DORADO,deltic timber
302,DELUXE CORP,,10,2,20%,Industrials,Minnesota,SHOREVIEW,deluxe
303,Demand Media Inc.,,6,0,0%,Technology,California,Santa Monica,demand media
304,DENBURY RESOURCES INC,,7,1,14%,Energy,Texas,PLANO,denbury resources
305,DENNYS CORP,,10,3,30%,,,SPARTANBURG,dennys
306,DENTSPLY SIRONA Inc.,,11,0,0%,Healthcare,Pennsylvania,YORK,dentsply sirona
307,DEPOMED INC,,7,1,14%,Healthcare,California,NEWARK,depomed
308,Dermira Inc.,,10,1,10%,,,MENLO PARK,dermira
309,Destination Maternity Corporation,,7,1,14%,Consumer Cyclical,Pennsylvania,Philadelphia,destination maternity
310,Destination XL Group Inc.,,10,1,10%,Consumer Cyclical,Massachusetts,Canton,destination xl group
311,DEVON ENERGY CORP/DE,,9,2,22%,Energy,Oklahoma,OKLAHOMA CITY,devon energyde
312,DeVry Education Group,,10,2,20%,Consumer Defensive,Illinois,Downers Grove,devry education group
313,DEXCOM INC,,9,1,11%,Healthcare,California,SAN DIEGO,dexcom
314,DHI GROUP INC.,,10,3,30%,,,NEW YORK,dhi group
315,DHT HOLDINGS INC.,,4,0,0%,,,HAMILTON,dht holdings
316,DIAMOND HILL INVESTMENT GROUP INC,,6,1,17%,,,COLUMBUS,diamond hill investment group
317,DIAMOND OFFSHORE DRILLING INC,,11,0,0%,Energy,Texas,HOUSTON,diamond offshore drilling
318,Diamondback Energy Inc.,,5,0,0%,,,MIDLAND,diamondback energy
319,DiamondRock Hospitality Co,,8,1,13%,Real Estate,Maryland,BETHESDA,diamondrock hospitality
320,DICKS SPORTING GOODS INC,,9,1,11%,Consumer Cyclical,Pennsylvania,CORAOPOLIS,dicks sporting goods
321,DIEBOLD NIXDORF INC,,13,1,8%,Technology,Ohio,NORTH CANTON,diebold nixdorf
322,DIGI INTERNATIONAL INC,,6,0,0%,,,MINNETONKA,digi international
323,Digimarc CORP,,7,0,0%,,,BEAVERTON,digimarc
324,Digital Realty Trust Inc.,,9,1,11%,Real Estate,California,SAN FRANCISCO,digital realty trust
325,DIGITALGLOBE INC,,9,2,22%,,,WESTMINSTER,digitalglobe
326,DILLARDS INC,,12,1,8%,Consumer Cyclical,Arkansas,LITTLE ROCK,dillards
327,DIME COMMUNITY BANCSHARES INC,,10,1,10%,,,BROOKLYN,dimemmunity bancshares
328,DineEquity Inc,,10,2,20%,Consumer Cyclical,California,GLENDALE,dineequity
329,DIODES INC /DEL/,,7,1,14%,,,PLANO,diodes del
330,Diplomat Pharmacy Inc.,,7,2,29%,Healthcare,Michigan,FLINT,diplomat pharmacy
331,Discover Financial Services,,12,3,25%,Financial Services,Illinois,RIVERWOODS,discover financial services
332,Discovery Communications Inc.,,11,1,9%,Consumer Cyclical,Maryland,SILVER SPRING,discoverymmunications
333,DISH Network CORP,,10,1,10%,Communication Services,Colorado,ENGLEWOOD,dish network
334,DMC Global Inc.,,8,0,0%,,,BOULDER,dmc global
335,DNB FINANCIAL CORP /PA/,,11,2,18%,Financial Services,Pennsylvania,DOWNINGTOWN,dnb financial pa
336,Dolby Laboratories Inc.,,9,1,11%,Consumer Cyclical,California,SAN FRANCISCO,dolby laboratories
337,DOLLAR GENERAL CORP,,8,3,38%,Consumer Defensive,Tennessee,GOODLETTSVILLE,dollar general
338,DOLLAR TREE INC,,11,1,9%,Consumer Defensive,Virginia,CHESAPEAKE,dollar tree
339,DOMINION RESOURCES INC /VA/,,12,3,25%,Utilities,Virginia,RICHMOND,dominion resources va
340,DOMINOS PIZZA INC,,8,1,13%,Consumer Cyclical,Michigan,ANN ARBOR,dominos pizza
341,Domtar CORP,,9,3,33%,Basic Materials,South Carolina,FORT MILL,domtar
342,DONALDSON CO INC,,10,1,10%,Industrials,Minnesota,MINNEAPOLIS,donaldson
343,DONEGAL GROUP INC,,11,1,9%,,,MARIETTA,donegal group
344,DONNELLEY FINANCIAL SOLUTIONS INC.,,8,2,25%,,,CHICAGO,donnelley financial solutions
345,DORIAN LPG LTD.,,7,1,14%,,,STAMFORD,dorian lpg
346,Dorman Products Inc.,,6,0,0%,,,COLMAR,dorman products
347,DOUGLAS DYNAMICS INC,,6,1,17%,,,MILWAUKEE,douglas dynamics
348,Douglas Emmett Inc,,9,1,11%,Real Estate,California,SANTA MONICA,douglas emmett
349,DOVER CORP,,12,2,17%,Industrials,Illinois,DOWNERS GROVE,dover
350,DOW CHEMICAL CO /DE/,,13,2,15%,Basic Materials,Michigan,MIDLAND,dow chemical
351,Dr Pepper Snapple Group Inc.,,9,3,33%,Consumer Defensive,Texas,PLANO,dr pepper snapple group
352,DRIL-QUIP INC,,5,0,0%,,,HOUSTON,drilquip
353,Drive Shack Inc.,,6,0,0%,,,NEW YORK,drive shack
354,DSP GROUP INC /DE/,,7,0,0%,,,LOS ALTOS,dsp group
355,DST SYSTEMS INC,,8,1,13%,Industrials,Missouri,KANSAS CITY,dst systems
356,DSW Inc.,,9,4,44%,Consumer Cyclical,Ohio,COLUMBUS,dsw
357,DTE ENERGY CO,,12,2,17%,Utilities,Michigan,DETROIT,dte energy
358,DTS Inc.,,6,1,17%,Technology,California,Calabasas,dts
359,DUCOMMUN INC /DE/,,8,0,0%,,,CARSON,ducommun
360,Duke Energy Corporation,,13,2,15%,Utilities,North Carolina,CHARLOTTE,duke energy
361,DUKE REALTY CORP,,10,3,30%,Real Estate,Indiana,INDIANAPOLIS,duke realty
362,DULUTH HOLDINGS INC.,,9,3,33%,,,BELLEVILLE,duluth holdings
363,DUN & BRADSTREET CORP/NW,,9,3,33%,Industrials,New Jersey,SHORT HILLS,dun  bradstreetnw
364,DUNKIN' BRANDS GROUP INC.,,8,2,25%,Consumer Cyclical,Massachusetts,CANTON,dunkin brands group
365,DUPONT E I DE NEMOURS & CO,,10,2,20%,Basic Materials,Delaware,WILMINGTON,dupont e i de nemours 
366,DuPont Fabros Technology Inc.,,8,1,13%,Real Estate,District of Columbia,WASHINGTON,dupont fabros technology
367,DURECT CORP,,7,0,0%,,,CUPERTINO,durect
368,DXC Technology Co,,10,2,20%,,,TYSONS,dxc technology
369,DXP ENTERPRISES INC,,4,0,0%,,,HOUSTON,dxp enterprises
370,DYCOM INDUSTRIES INC,,8,2,25%,Industrials,Florida,PALM BEACH GARDENS,dycom industries
371,DYNAVAX TECHNOLOGIES CORP,,9,2,22%,,,BERKELEY,dynavax technologies
372,DYNEGY INC.,,8,1,13%,Utilities,Texas,HOUSTON,dynegy
373,DYNEX CAPITAL INC,,5,1,20%,Real Estate,Virginia,GLEN ALLEN,dynex capital
374,E TRADE FINANCIAL CORP,,12,3,25%,Financial Services,New York,NEW YORK,e trade financial
375,E.W. SCRIPPS Co,,11,2,18%,,,CINCINNATI,ew scripps
376,EAGLE BANCORP INC,,7,0,0%,Financial Services,Maryland,BETHESDA,eagle bancorp
377,EAGLE MATERIALS INC,,8,0,0%,,,DALLAS,eagle materials
378,EAGLE PHARMACEUTICALS INC.,,7,0,0%,,,WOODCLIFF LAKE,eagle pharmaceuticals
379,EarthLink Inc.,,8,3,38%,Communication Services,Georgia,Atlanta,earthlink
380,EARTHSTONE ENERGY INC,,8,0,0%,,,THE WOODLANDS,earthstone energy
381,EAST WEST BANCORP INC,,9,2,22%,Financial Services,California,PASADENA,east west bancorp
382,Easterly Government Properties Inc.,,7,1,14%,,,WASHINGTON,easterly government properties
383,Eastern Bank Corporation,,15,3,20%,Financial Services,Massachusetts,Boston,eastern bank
384,EASTERN CO,,6,0,0%,,,NAUGATUCK,eastern
385,Eastern Virginia Bankshares Inc.,,12,0,0%,Financial Services,Virginia,Tappahannock,eastern virginia bankshares
386,EASTGROUP PROPERTIES INC,,9,1,11%,,,JACKSON,eastgroup properties
387,EASTMAN CHEMICAL CO,,12,2,17%,Basic Materials,Tennessee,KINGSPORT,eastman chemical
388,EASTMAN KODAK COMPANY,,10,0,0%,Technology,New York,ROCHESTER,eastman kodakmpany
389,Eaton Corp plc,,12,3,25%,Industrials,,DUBLIN,eaton plc
390,EATON VANCE CORP,,7,2,29%,Financial Services,Massachusetts,BOSTON,eaton vance
391,EBAY INC,,12,2,17%,Consumer Cyclical,California,SAN JOSE,ebay
392,EBIX INC,,8,0,0%,,,JOHNS CREEK,ebix
393,Echelon Corporation,,5,1,20%,Technology,California,Santa Clara,echelon
394,Echo Global Logistics Inc.,,6,1,17%,,,CHICAGO,echo global logistics
395,EchoStar CORP,,8,0,0%,Technology,Colorado,ENGLEWOOD,echostar
396,Eclipse Resources Corp,,9,0,0%,,,STATE COLLEGE,eclipse resources
397,ECOLAB INC,,13,4,31%,Basic Materials,Minnesota,ST. PAUL,ecolab
398,Edge Therapeutics Inc.,,9,0,0%,,,BERKELEY HEIGHTS,edge therapeutics
399,EDGEWELL PERSONAL CARE Co,,8,2,25%,Consumer Defensive,Missouri,CHESTERFIELD,edgewell personal care
400,EDISON INTERNATIONAL,,10,3,30%,Utilities,California,ROSEMEAD,edison international
401,Editas Medicine Inc.,,7,1,14%,,,CAMBRIDGE,editas medicine
402,Education Management Corporation,,5,0,0%,Consumer Defensive,Pennsylvania,Pittsburgh,education management
403,Education Realty Trust Inc.,,8,1,13%,,,MEMPHIS,education realty trust
404,Edwards Lifesciences Corp,,8,2,25%,Healthcare,California,IRVINE,edwards lifesciences
405,eHealth Inc.,,5,1,20%,Financial Services,California,MOUNTAIN VIEW,ehealth
406,EL PASO ELECTRIC CO /TX/,,9,2,22%,,,EL PASO,el paso electric tx
407,El Pollo Loco Holdings Inc.,,8,1,13%,,,COSTA MESA,el pollo loco holdings
408,Eldorado Resorts Inc.,,9,1,11%,,,RENO,eldorado resorts
409,Electro Rent Corporation,,6,2,33%,Industrials,California,Van Nuys,electro rent
410,ELECTRO SCIENTIFIC INDUSTRIES INC,,6,0,0%,,,PORTLAND,electro scientific industries
411,ELECTRONIC ARTS INC.,,10,2,20%,Technology,California,REDWOOD CITY,electronic arts
412,ELECTRONICS FOR IMAGING INC,,6,0,0%,Technology,California,FREMONT,electronics for imaging
413,Elevate Credit Inc.,,9,1,11%,,,FORT WORTH,elevate credit
414,Elizabeth Arden,,7,1,14%,Consumer Defensive,Florida,Pembroke Pines,elizabeth arden
415,ELLIE MAE INC,,11,2,18%,Technology,California,PLEASANTON,ellie mae
416,eMagin Corp,,7,2,29%,Technology,New York,New York,emagin
417,EMC INSURANCE GROUP INC,,5,1,20%,,,DES MOINES,emc insurance group
418,EMCOR GROUP INC,,11,1,9%,Industrials,Connecticut,NORWALK,emcor group
419,EMCORE CORP,,5,0,0%,,,ALHAMBRA,emcore
420,Emerald Expositions Events Inc.,,6,0,0%,,,SAN JUAN CAPISTRANO,emerald expositions events
421,Emergent BioSolutions Inc.,,9,2,22%,Healthcare,Maryland,GAITHERSBURG,emergent biosolutions
422,EMERSON ELECTRIC COMPANY,,10,2,20%,Industrials,Missouri,ST. LOUIS,emerson electricmpany
423,EMPIRE RESORTS INC,,6,1,17%,,,MONTICELLO,empire resorts
424,Empire State Realty Trust Inc.,,7,1,14%,,,NEW YORK,empire state realty trust
425,Employers Holdings Inc.,,9,2,22%,,,RENO,employers holdings
426,Enable Midstream Partners LP,,9,0,0%,Energy,Oklahoma,Oklahoma City,enable midstream partners lp
427,ENANTA PHARMACEUTICALS INC,,6,1,17%,,,WATERTOWN,enanta pharmaceuticals
428,Enbridge Energy Partners L.P.,,9,0,0%,Energy,Texas,Houston,enbridge energy partners lp
429,ENCORE CAPITAL GROUP INC,,9,2,22%,Financial Services,California,SAN DIEGO,encore capital group
430,ENCORE WIRE CORP,,6,0,0%,,,MCKINNEY,encore wire
431,Endo International plc,,9,2,22%,Healthcare,,DUBLIN,endo international plc
432,ENDOLOGIX INC /DE/,,8,1,13%,Healthcare,California,IRVINE,endologix
433,Endurance International Group Holdings Inc.,,9,0,0%,,,BURLINGTON,endurance international group holdings
434,Endurance Specialty Holdings Ltd.,,14,1,7%,Financial Services,,Pembroke,endurance specialty holdings
435,ENERGEN CORP,,9,1,11%,Energy,Alabama,BIRMINGHAM,energen
436,ENERGIZER HOLDINGS INC.,,10,1,10%,,,ST. LOUIS,energizer holdings
437,Energous Corp,,6,0,0%,,,SAN JOSE,energous
438,Energy Recovery Inc.,,8,0,0%,Industrials,California,SAN LEANDRO,energy recovery
439,Energy Transfer Equity L.P.,,8,0,0%,Energy,Texas,Dallas,energy transfer equity lp
440,Energy XXI Ltd,,7,0,0%,,,HAMILTON,energy xxi
441,ENERNOC INC,,7,1,14%,Industrials,Massachusetts,BOSTON,enernoc
442,EnerSys,,8,0,0%,Technology,Pennsylvania,READING,enersys
443,Engility Holdings Inc.,,10,1,10%,Industrials,Virginia,CHANTILLY,engility holdings
444,Enlight Research LLC,,5,1,20%,Technology,North Carolina,Durham,enlight research llc
445,ENNIS INC.,,9,0,0%,,,MIDLOTHIAN,ennis
446,Enova International Inc.,,9,1,11%,,,CHICAGO,enova international
447,Enphase Energy Inc.,,6,0,0%,Technology,California,Petaluma,enphase energy
448,ENPRO INDUSTRIES INC,,8,1,13%,,,CHARLOTTE,enpro industries
449,Ensco plc,,9,2,22%,,,LONDON,ensco plc
450,ENSIGN GROUP INC,,7,1,14%,Healthcare,California,MISSION VIEJO,ensign group
451,Enstar Group LTD,,10,1,10%,,,HAMILTON,enstar group
452,ENTEGRIS INC,,8,0,0%,Technology,Massachusetts,BILLERICA,entegris
453,ENTELLUS MEDICAL INC,,7,0,0%,,,PLYMOUTH,entellus medical
454,ENTERCOM COMMUNICATIONS CORP,,6,0,0%,,,BALA CYNWYD,entercommmunications
455,ENTERGY CORP /DE/,,11,4,36%,Utilities,Louisiana,NEW ORLEANS,entergy
456,ENTERPRISE BANCORP INC /MA/,,18,5,28%,,,LOWELL,enterprise bancorp ma
457,ENTERPRISE FINANCIAL SERVICES CORP,,12,3,25%,,,CLAYTON,enterprise financial services
458,Enterprise Products Partners L.P.,,10,2,20%,Energy,Texas,Houston,enterprise products partners lp
459,ENTRAVISION COMMUNICATIONS CORP,,6,2,33%,Consumer Cyclical,California,SANTA MONICA,entravisionmmunications
460,ENVESTNET INC.,,9,1,11%,,,CHICAGO,envestnet
461,EnviroStar Inc.,,8,0,0%,,,MIAMI,envirostar
462,Envision Healthcare Corp,,13,2,15%,Healthcare,Colorado,NASHVILLE,envision healthcare
463,ENZO BIOCHEM INC,,5,0,0%,,,NEW YORK,enzo biochem
464,EOG RESOURCES INC,,7,1,14%,Energy,Texas,HOUSTON,eog resources
465,EP Energy Corp,,12,0,0%,Energy,Texas,HOUSTON,ep energy
466,EPAM Systems Inc.,,7,1,14%,,,NEWTOWN,epam systems
467,Epizyme Inc.,,8,1,13%,,,CAMBRIDGE,epizyme
468,EPLUS INC,,8,0,0%,Technology,Virginia,HERNDON,eplus
469,EPR PROPERTIES,,7,1,14%,,,KANSAS CITY,epr properties
470,EQT Corp,,11,3,27%,Energy,Pennsylvania,PITTSBURGH,eqt
471,EQUIFAX INC,,11,2,18%,Industrials,Georgia,ATLANTA,equifax
472,EQUINIX INC,,10,1,10%,Real Estate,California,REDWOOD CITY,equinix
473,EQUITY BANCSHARES INC,,14,1,7%,,,WICHITA,equity bancshares
474,Equity Commonwealth,,11,1,9%,Real Estate,Illinois,CHICAGO,equitymmonwealth
475,EQUITY LIFESTYLE PROPERTIES INC,,10,2,20%,,,CHICAGO,equity lifestyle properties
476,Equity One,,9,2,22%,Real Estate,New York,New York,equity one
477,EQUITY RESIDENTIAL,,12,3,25%,Real Estate,Illinois,CHICAGO,equity residential
478,ERA GROUP INC.,,7,2,29%,,,HOUSTON,era group
479,ERIE INDEMNITY CO,,13,2,15%,Financial Services,Pennsylvania,ERIE,erie indemnity
480,Erie Insurance Group,,13,2,15%,Financial Services,Pennsylvania,Erie,erie insurance group
481,Eros International plc,,9,2,22%,,,SECAUCUS,eros international plc
482,ESCALADE INC,,7,0,0%,,,EVANSVILLE,escalade
483,ESCO TECHNOLOGIES INC,,7,0,0%,,,ST. LOUIS,esco technologies
484,Esperion Therapeutics Inc.,,9,1,11%,,,ANN ARBOR,esperion therapeutics
485,ESSA Bancorp Inc.,,10,2,20%,,,STROUDSBURG,essa bancorp
486,ESSENDANT INC,,10,2,20%,Industrials,Illinois,DEERFIELD,essendant
487,Essent Group Ltd.,,9,0,0%,,,HAMILTON,essent group
488,ESSEX PROPERTY TRUST INC,,9,1,11%,Real Estate,California,SAN MATEO,essex property trust
489,ESTEE LAUDER COMPANIES INC,,15,6,40%,Consumer Defensive,New York,NEW YORK,estee laudermpanies
490,ESTERLINE TECHNOLOGIES CORP,,9,2,22%,Industrials,Washington,BELLEVUE,esterline technologies
491,ETHAN ALLEN INTERIORS INC,,7,2,29%,,,DANBURY,ethan allen interiors
492,ETSY INC,,7,3,43%,Consumer Cyclical,New York,BROOKLYN,etsy
493,EURONET WORLDWIDE INC,,8,1,13%,,,LEAWOOD,euronet worldwide
494,EVANS BANCORP INC,,12,1,8%,,,HAMBURG,evans bancorp
495,EverBank Financial,,11,1,9%,Financial Services,Florida,Jacksonville,everbank financial
496,Evercore Partners Inc.,,9,1,11%,,,NEW YORK CITY,evercore partners
497,EVEREST RE GROUP LTD,,8,1,13%,Financial Services,,HAMILTON,everest re group
498,Everi Holdings Inc.,,6,1,17%,,,LAS VEGAS,everi holdings
499,Eversource Energy,,12,2,17%,Utilities,Massachusetts,SPRINGFIELD,eversource energy
500,EVERTEC Inc.,,9,2,22%,,,SAN JUAN,evertec
501,Evolent Health Inc.,,10,2,20%,,,ARLINGTON,evolent health
502,EVOLUTION PETROLEUM CORP,,5,0,0%,,,HOUSTON,evolution petroleum
503,EXA CORP,,6,0,0%,,,BURLINGTON,exa
504,EXACT SCIENCES CORP,,10,1,10%,,,MADISON,exact sciences
505,EXACTECH INC,,7,1,14%,Healthcare,Florida,GAINESVILLE,exactech
506,Exar Corporation,,7,0,0%,Technology,California,Fremont,exar
507,EXCO Resources Inc.,,7,0,0%,Energy,Texas,Dallas,exco resources
508,EXELIXIS INC.,,11,1,9%,Healthcare,California,SOUTH SAN FRANCISCO,exelixis
509,EXELON CORP,,13,3,23%,Utilities,Illinois,CHICAGO,exelon
510,Exide Technologies Inc.,,8,0,0%,Industrials,Georgia,Milton,exide technologies
511,ExlService Holdings Inc.,,8,2,25%,,,NEW YORK,exlservice holdings
512,ExOne Co,,7,1,14%,,,NORTH HUNTINGDON,exone
513,Expedia Inc.,,14,3,21%,Consumer Cyclical,Washington,BELLEVUE,expedia
514,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,,11,2,18%,Industrials,Washington,SEATTLE,expeditors international of washington
515,EXPONENT INC,,6,3,50%,Industrials,California,MENLO PARK,exponent
516,EXPRESS INC.,,7,2,29%,Consumer Cyclical,Ohio,COLUMBUS,express
517,Express Scripts Holding Co.,,12,1,8%,Healthcare,Missouri,SAINT LOUIS,express scripts holding
518,Extended Stay America Inc.,,7,1,14%,,,CHARLOTTE,extended stay america
519,Exterran Corp,,8,0,0%,,,HOUSTON,exterran
520,Extra Space Storage Inc.,,7,1,14%,,,SALT LAKE CITY,extra space storage
521,EXTREME NETWORKS INC,,7,1,14%,Technology,California,SAN JOSE,extreme networks
522,Exxon Mobil Corporation,,11,4,36%,Energy,Texas,IRVING,exxon mobil
523,EZCORP INC,,8,0,0%,,,AUSTIN,ezcorp
524,F5 NETWORKS INC,,9,2,22%,Technology,Washington,SEATTLE,f5 networks
525,Fabrinet,,5,1,20%,,,GEORGE TOWN,fabrinet
526,Facebook Inc,,8,2,25%,Technology,California,MENLO PARK,facebook
527,FACTSET RESEARCH SYSTEMS INC,,9,3,33%,Industrials,Connecticut,NORWALK,factset research systems
528,FAIR ISAAC CORP,,9,1,11%,Technology,California,SAN JOSE,fair isaac
529,Fairchild Semiconductor International Inc.,,9,1,11%,Technology,California,San Jose,fairchild semiconductor international
530,Fairmount Santrol Holdings Inc.,,10,1,10%,,,CHESTERLAND,fairmount santrol holdings
531,FAIRPOINT COMMUNICATIONS INC,,9,0,0%,,,CHARLOTTE,fairpointmmunications
532,Famous Dave's of America Inc.,,7,0,0%,Consumer Cyclical,Minnesota,Minnetonka,famous daves of america
533,Fannie Mae,,12,3,25%,Financial Services,District of Columbia,Washington,fannie mae
534,FARMER BROTHERS CO,,7,2,29%,,,FORT WORTH,farmer brothers
535,FARMERS & MERCHANTS BANCORP INC,,11,2,18%,,,ARCHBOLD,farmers  merchants bancorp
536,FARMERS CAPITAL BANK CORP,,12,1,8%,,,FRANKFORT,farmers capital bank
537,FARMERS NATIONAL BANC CORP /OH/,,11,1,9%,,,CANFIELD,farmers national banc oh
538,Farmland Partners Inc.,,8,0,0%,,,DENVER,farmland partners
539,FARO TECHNOLOGIES INC,,6,1,17%,Technology,Florida,LAKE MARY,faro technologies
540,FASTENAL CO,,10,2,20%,Industrials,Minnesota,WINONA,fastenal
541,FATE THERAPEUTICS INC,,7,0,0%,,,SAN DIEGO,fate therapeutics
542,Fauquier Bankshares Inc.,,9,1,11%,Financial Services,Virginia,Warrenton,fauquier bankshares
543,FB FINANCIAL CORP,,9,2,22%,,,NASHVILLE,fb financial
544,FBL FINANCIAL GROUP INC,,10,0,0%,,,WEST DES MOINES,fbl financial group
545,FBR & Co,,8,2,25%,Financial Services,Virginia,Arlington,fbr 
546,FCB FINANCIAL HOLDINGS INC.,,11,0,0%,,,WESTON,fcb financial holdings
547,FEDERAL AGRICULTURAL MORTGAGE CORP,,15,1,7%,Financial Services,District of Columbia,WASHINGTON,federal agricultural mortgage
548,FEDERAL REALTY INVESTMENT TRUST,,7,2,29%,Real Estate,Maryland,ROCKVILLE,federal realty investment trust
549,FEDERAL SIGNAL CORP /DE/,,9,3,33%,,,OAK BROOK,federal signal
550,Federal-Mogul Corporation,,10,0,0%,Consumer Cyclical,Michigan,Southfield,federalmogul
551,FEDERATED INVESTORS INC /PA/,,7,1,14%,Financial Services,Pennsylvania,PITTSBURGH,federated investors pa
552,FEDERATED NATIONAL HOLDING CO,,6,1,17%,Financial Services,Florida,SUNRISE,federated national holding
553,FEDEX CORP,,12,3,25%,Industrials,Tennessee,MEMPHIS,fedex
554,FelCor Lodging Trust Inc,,8,2,25%,,,IRVING,felcor lodging trust
555,Ferrellgas Partners LP,,8,1,13%,Energy,Kansas,Overland Park,ferrellgas partners lp
556,FERRO CORP,,7,0,0%,Basic Materials,Ohio,MAYFIELD HEIGHTS,ferro
557,FIBROGEN INC,,11,0,0%,,,SAN FRANCISCO,fibrogen
558,Fidelity & Guaranty Life,,7,0,0%,,,DES MOINES,fidelity  guaranty life
559,Fidelity National Financial Inc.,,13,2,15%,Financial Services,Florida,JACKSONVILLE,fidelity national financial
560,Fidelity National Information Services Inc.,,9,1,11%,Technology,Florida,JACKSONVILLE,fidelity national information services
561,FIDELITY SOUTHERN CORP,,9,0,0%,,,ATLANTA,fidelity southern
562,Fiesta Restaurant Group Inc.,,9,1,11%,,,DALLAS,fiesta restaurant group
563,Fifth Street Asset Management Inc.,,7,1,14%,,,GREENWICH,fifth street asset management
564,FIFTH THIRD BANCORP,,12,4,33%,Financial Services,Ohio,CINCINNATI,fifth third bancorp
565,Financial Engines Inc.,,9,2,22%,Financial Services,California,SUNNYVALE,financial engines
566,FINANCIAL INSTITUTIONS INC,,11,2,18%,,,WARSAW,financial institutions
567,FINISAR CORP,,6,0,0%,Technology,California,SUNNYVALE,finisar
568,FINISH LINE INC /IN/,,7,1,14%,,,INDIANAPOLIS,finish line in
569,FireEye Inc.,,6,1,17%,,,MILPITAS,fireeye
570,First American Financial Corporation,,9,2,22%,Financial Services,California,SANTA ANA,first american financial
571,FIRST BANCORP /NC/,,12,3,25%,,,SOUTHERN PINES,first bancorp nc
572,FIRST BANCORP /PR/,,9,1,11%,,,SANTURCE,first bancorp pr
573,First Bancorp Inc /ME/,,9,2,22%,,,DAMARISCOTTA,first bancorp me
574,FIRST BUSEY CORP /NV/,,13,1,8%,,,CHAMPAIGN,first busey nv
575,FIRST BUSINESS FINANCIAL SERVICES INC.,,9,2,22%,,,MADISON,first business financial services
576,FIRST CITIZENS BANCSHARES INC /DE/,,13,1,8%,Financial Services,North Carolina,RALEIGH,first citizens bancshares
577,FIRST COMMONWEALTH FINANCIAL CORP /PA/,,12,2,17%,,,INDIANA,firstmmonwealth financial pa
578,FIRST COMMUNITY BANCSHARES INC /NV/,,8,0,0%,Financial Services,Virginia,BLUEFIELD,firstmmunity bancshares nv
579,First Community Financial Partners Inc.,,17,2,12%,,,JOLIET,firstmmunity financial partners
580,First Connecticut Bancorp Inc.,,8,1,13%,,,FARMINGTON,firstnnecticut bancorp
581,FIRST DATA CORP,,8,2,25%,Industrials,New York,ATLANTA,first data
582,FIRST DEFIANCE FINANCIAL CORP,,11,2,18%,,,DEFIANCE,first defiance financial
583,FIRST FINANCIAL BANCORP /OH/,,13,4,31%,,,CINCINNATI,first financial bancorp oh
584,FIRST FINANCIAL BANKSHARES INC,,11,1,9%,Financial Services,Texas,ABILENE,first financial bankshares
